username,game_id,side,num_moves,result,panic_score,time_per_move,capture_rate,sacrifice_rate,check_rate,early_aggression,castle_move,piece_activity,avg_material_diff,gambit_tendency,opening_eco,sharp_opening,decisive_game
Pap-G,ynIsAjil,black,55,1,0.376953125,642.0370370370371,0.3333333333333333,0.1111111111111111,0.037037037037037035,0.0,,3.0,0.9259259259259259,0,B00,0,1
Pap-G,aZMRzh6J,white,39,1,2.071271929824561,1123.842105263158,0.2,0.0,0.0,1.0,5.0,8.0,0.15,0,C50,0,1
Pap-G,SuvG8mvu,white,93,1,0.396583686440678,470.32608695652175,0.2553191489361702,0.06382978723404255,0.0425531914893617,2.0,4.0,5.0,1.574468085106383,0,B31,1,1
Pap-G,NEPOwqXT,black,134,1,0.1357219442458899,596.0909090909091,0.22388059701492538,0.08955223880597014,0.1044776119402985,3.0,,5.0,0.7761194029850746,0,A41,0,1
Pap-G,bLp7jgwj,white,119,1,0.0867224880382775,748.1186440677966,0.18333333333333332,0.05,0.03333333333333333,0.0,15.0,6.0,0.8333333333333334,0,A40,0,1
Pap-G,UV4CxoBV,white,87,1,0.40080146231721037,1005.8837209302326,0.22727272727272727,0.09090909090909091,0.11363636363636363,2.0,10.0,5.0,0.8409090909090909,0,D02,0,1
Pap-G,kXkmpn19,black,54,1,0.5433389074693422,953.9615384615385,0.18518518518518517,0.07407407407407407,0.0,1.0,12.0,7.0,0.18518518518518517,0,A04,0,1
Pap-G,9jtCHp8W,white,85,1,0.35341682879377434,836.5,0.27906976744186046,0.13953488372093023,0.09302325581395349,1.0,9.0,6.0,1.0465116279069768,0,D02,0,1
Pap-G,j5ILldzD,black,72,1,0.5047089041095891,946.4,0.2777777777777778,0.08333333333333333,0.0,2.0,5.0,6.0,0.9722222222222222,0,C48,1,1
Pap-G,Bx7psnMr,black,134,1,0.22454068241469818,609.5454545454545,0.19402985074626866,0.08955223880597014,0.014925373134328358,1.0,9.0,8.0,1.0746268656716418,0,C55,0,1
Pap-G,gM7YtMEw,white,236,0,0.09336674528301886,404.0940170940171,0.11864406779661017,0.059322033898305086,0.1440677966101695,1.0,7.0,6.0,-0.211864406779661,0,A05,0,0
Pap-G,uVn7wGL5,white,101,1,2.4023264401772524,705.5,0.23529411764705882,0.09803921568627451,0.0,1.0,14.0,6.0,-0.2549019607843137,0,A11,0,1
Pap-G,UXwlkl37,white,87,1,0.2534258021390374,818.0697674418604,0.20454545454545456,0.11363636363636363,0.022727272727272728,1.0,4.0,4.0,1.1818181818181819,0,A05,0,1
Pap-G,wkIm9zR1,black,145,-1,0.1341966966966967,672.9154929577464,0.18055555555555555,0.06944444444444445,0.05555555555555555,1.0,,3.0,-1.7361111111111112,0,B94,1,1
Pap-G,vqaE2UIe,white,77,1,1.7240300375469337,1132.3157894736842,0.20512820512820512,0.10256410256410256,0.1794871794871795,0.0,5.0,5.0,-0.3076923076923077,0,A15,0,1
Pap-G,cc93Q1Ga,white,141,1,0.07134802220680082,676.6428571428571,0.18309859154929578,0.07042253521126761,0.18309859154929578,2.0,6.0,6.0,-0.4647887323943662,0,A17,0,1
Pap-G,zqN1LKRZ,white,65,1,1.5734374999999998,1030.28125,0.21212121212121213,0.12121212121212122,0.06060606060606061,0.0,,6.0,-0.696969696969697,1,D61,0,1
Pap-G,1C5CZo3O,black,110,1,0.1911793372319688,834.574074074074,0.21818181818181817,0.03636363636363636,0.03636363636363636,0.0,6.0,7.0,0.4909090909090909,0,A21,0,1
Pap-G,Zs04vkpf,white,93,0,0.42245493107104987,711.7173913043479,0.2765957446808511,0.02127659574468085,0.0425531914893617,2.0,,5.0,0.3617021276595745,0,B10,0,1
Pap-G,ADkXU4yn,black,88,1,1.806840077071291,574.0930232558139,0.20454545454545456,0.11363636363636363,0.25,0.0,5.0,6.0,0.3409090909090909,0,A46,0,1
Pap-G,FLmE6CcO,white,39,1,1.1256476683937824,306.63157894736844,0.25,0.15,0.05,0.0,4.0,7.0,-0.3,0,B50,0,1
Pap-G,r4KEAh9V,black,119,-1,0.058317698561600996,805.7627118644068,0.22033898305084745,0.03389830508474576,0.01694915254237288,3.0,9.0,7.0,0.4576271186440678,0,A46,0,1
Pap-G,esorQ9uq,white,109,1,1.5999190938511327,783.4814814814815,0.16363636363636364,0.03636363636363636,0.01818181818181818,0.0,6.0,6.0,0.7090909090909091,0,B50,0,1
Pap-G,jOWL4kcm,black,68,1,4.8165266106442575,975.3939393939394,0.17647058823529413,0.058823529411764705,0.029411764705882353,1.0,5.0,6.0,0.3235294117647059,0,B00,0,1
Pap-G,vkloseKp,white,52,-1,7.6702488687782795,1144.3461538461538,0.2692307692307692,0.07692307692307693,0.0,0.0,6.0,6.0,0.46153846153846156,0,B28,1,1
Pap-G,5j5Pk8Zx,black,78,1,0.6034527518172378,883.8157894736842,0.2564102564102564,0.10256410256410256,0.05128205128205128,2.0,9.0,6.0,0.7435897435897436,0,A40,0,1
Pap-G,oYuBsEbh,black,94,1,1.2877094972067038,671.6521739130435,0.2553191489361702,0.10638297872340426,0.0851063829787234,2.0,10.0,6.0,-0.19148936170212766,0,D02,0,1
Pap-G,K8iU57pc,white,137,1,0.2723684210526316,691.2941176470588,0.18840579710144928,0.014492753623188406,0.014492753623188406,2.0,9.0,4.0,0.10144927536231885,0,B06,0,1
Pap-G,0jdPSLXE,black,96,1,0.18745980707395501,1004.1702127659574,0.20833333333333334,0.08333333333333333,0.0625,1.0,7.0,4.0,0.2916666666666667,1,D35,0,1
Pap-G,XTe3cGDl,white,57,1,3.6074610244988863,1585.0714285714287,0.2413793103448276,0.10344827586206896,0.0,2.0,7.0,5.0,-0.10344827586206896,0,B12,0,1
Pap-G,FZ2EEbEd,black,118,1,0.12792397660818713,794.9655172413793,0.2542372881355932,0.05084745762711865,0.13559322033898305,1.0,6.0,5.0,0.4576271186440678,1,D35,0,1
Pap-G,UqegC4r9,black,62,1,1.0865928369462772,890.9,0.1935483870967742,0.03225806451612903,0.03225806451612903,2.0,17.0,5.0,0.41935483870967744,1,D31,0,1
Pap-G,EUJdSaDn,white,85,0,15.5688202247191,963.8571428571429,0.23255813953488372,0.046511627906976744,0.023255813953488372,0.0,8.0,5.0,0.3953488372093023,0,A01,0,0
Pap-G,5RUTLwFp,white,51,1,3.825390625,1154.28,0.15384615384615385,0.038461538461538464,0.0,0.0,,4.0,0.0,0,A01,0,1
Pap-G,ivE59Q5u,black,78,1,1.791893732970027,567.921052631579,0.3076923076923077,0.07692307692307693,0.15384615384615385,0.0,19.0,6.0,1.3076923076923077,0,A10,0,1
Pap-G,FU1eS4NS,white,99,1,0.3744913530010173,394.6326530612245,0.24,0.06,0.14,1.0,10.0,7.0,1.62,0,A01,0,1
Pap-G,VCxrkrAJ,black,162,1,0.16673823428375129,527.6375,0.18518518518518517,0.024691358024691357,0.04938271604938271,1.0,5.0,5.0,1.2469135802469136,0,B07,0,1
Pap-G,pmU8G7ST,white,41,1,2.5770785219399537,1091.55,0.09523809523809523,0.09523809523809523,0.0,2.0,11.0,8.0,0.0,0,B10,0,1
Pap-G,hWnUNgFl,black,96,1,0.5220149253731343,967.7446808510638,0.20833333333333334,0.0625,0.10416666666666667,1.0,25.0,5.0,1.625,0,B00,0,1
Pap-G,XYgWCwUH,white,95,1,0.38080771979985706,855.1063829787234,0.1875,0.0625,0.08333333333333333,1.0,7.0,5.0,0.3333333333333333,0,A01,0,1
