username,game_id,rated,speed,time_control,increment,white_user,black_user,white_rating,black_rating,winner,status,opening_name,opening_eco,opening_ply,moves,num_moves,clocks
Pap-G,ynIsAjil,True,rapid,480,0,Aricats,Pap-G,2497,2948,black,resign,Pirc Defense,B00,3.0,e4 d6 d4 g6 Nc3 a6 Be3 b5 h4 h6 Qd2 Bb7 d5 Bg7 O-O-O c5 f4 Nf6 e5 b4 Na4 Nxd5 exd6 exd6 Bc4 Nxe3 Qxe3+ Qe7 Qxe7+ Kxe7 Nb6 Ra7 Bd5 Nd7 Nxd7 Bxd5 Rxd5 Kxd7 Nf3 Kc6 Rhd1 Rd7 g4 Re8 R5d3 Re4 g5 Rxf4 gxh6 Bxh6 Ne5+ dxe5 Rxd7 Rd4+ Rd2,55,"[48003, 48003, 47859, 47795, 47579, 47739, 47275, 47531, 46851, 46819, 46683, 46619, 44259, 42291, 43835, 41179, 42659, 40323, 42019, 40219, 32387, 39651, 32291, 36451, 31955, 36171, 31707, 36107, 29619, 36107, 29507, 35987, 28171, 35171, 25291, 34691, 25291, 34163, 25227, 33563, 24851, 33467, 19051, 31867, 15491, 31459, 14427, 31179, 14339, 30859, 14123, 30859, 13987, 30827, 13522, 30668]"
Pap-G,aZMRzh6J,True,rapid,480,0,Pap-G,Aricats,2946,2497,white,resign,"Italian Game: Giuoco Pianissimo, Normal",C50,8.0,e4 e5 Nf3 Nc6 Bc4 Nf6 d3 Bc5 O-O O-O Bg5 h6 Bh4 Be7 Nbd2 d6 Re1 Be6 Bxe6 fxe6 c3 Qe8 Bg3 Nh5 Qb3 Qd7 d4 Nxg3 hxg3 exd4 cxd4 Kh8 Rac1 Rab8 d5 exd5 exd5 Na5 Qc3,39,"[48003, 48003, 47659, 47891, 47531, 47691, 47403, 47427, 47171, 47283, 47091, 47051, 46979, 46995, 46363, 46795, 46203, 45515, 45443, 45387, 45443, 43563, 45043, 36475, 29211, 33307, 28835, 22651, 28539, 20971, 28539, 18043, 27659, 14443, 27243, 13595, 27243, 13523, 26650, 10113]"
Pap-G,SuvG8mvu,True,rapid,480,0,Pap-G,Nidosuicune,2943,2548,white,resign,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",B31,6.0,e4 c5 Nf3 Nc6 Bb5 g6 O-O Bg7 Bxc6 dxc6 d3 b6 Nc3 e5 a3 Ne7 b4 cxb4 axb4 O-O Re1 h6 Bd2 Be6 Ra3 Kh7 Qa1 Qd7 Ne2 f5 Nxe5 Qc7 Bc3 fxe4 dxe4 c5 bxc5 Qxc5 Nd3 Bxc3 Nxc5 Bxa1 Nxe6 Rf6 Nc7 Bb2 Ra2 Rc8 Rxa7 Nc6 Ra2 Rxc7 Rxb2 Ne5 f3 Nc4 Ra2 Ne3 Nd4 Nc4 e5 Rff7 e6 Rfe7 Nb5 Rc8 Ra7 Re8 Rxe7+ Rxe7 Re4 Na5 Nc3 Kg7 Nd5 Re8 f4 Nc6 g4 Ne7 Nxe7 Rxe7 h4 Kf6 Kf2 h5 gxh5 gxh5 Ke3 Kf5 Re5+ Kg4 f5,93,"[48003, 48003, 47891, 47763, 47739, 47483, 47179, 46891, 47027, 46563, 46851, 45123, 45163, 44915, 45019, 44363, 44827, 43659, 44827, 42731, 42131, 41011, 41203, 40451, 40675, 39059, 40451, 38515, 39931, 37963, 39179, 35891, 38819, 35819, 38819, 32619, 38235, 26331, 37923, 24283, 37603, 24011, 37555, 22771, 35379, 20987, 33843, 19643, 33659, 18963, 32147, 17195, 31979, 16427, 31643, 16067, 31467, 15563, 31035, 12371, 30955, 11259, 29771, 10851, 29731, 8651, 29363, 8595, 29163, 8483, 28963, 7027, 28907, 5659, 28827, 5579, 28459, 4667, 28339, 4411, 27955, 4411, 27675, 4251, 27379, 3203, 27227, 3203, 27083, 2459, 26755, 2379, 26368, 2072]"
Pap-G,NEPOwqXT,True,rapid,480,0,Nidosuicune,Pap-G,2550,2939,black,outoftime,Queen's Pawn Game,A41,2.0,d4 d6 g3 e5 dxe5 dxe5 Qxd8+ Kxd8 Nc3 c6 f4 exf4 Bxf4 Nf6 Nf3 Bb4 O-O-O+ Ke7 Bg2 Be6 Ng5 Nbd7 Nce4 Nxe4 Nxe4 Nf6 Nxf6 Kxf6 a3 Bc5 b4 Bb6 Rhf1 Ke7 Bd6+ Ke8 b5 Rc8 Kb2 Bd8 bxc6 Bf6+ c3 bxc6 e4 h5 h4 Rh6 e5 Bd8 Be4 Bg4 Rd2 Re6 Rdf2 f6 Bg6+ Kd7 Rd2 Bc7 Bf7 Rxd6 exd6 Bxd6 Re1 Rb8+ Ka2 Kc7 Be6 Re8 Bxg4 Rxe1 Bxh5 Bxg3 Rg2 Re3 c4 Kb6 Rb2+ Kc5 Rb7 Bxh4 Rxg7 a5 Ra7 Kb6 Rh7 Bg3 Bf7 Bd6 Rh1 Rxa3+ Kb2 Re3 Kc2 Bb4 Rb1 Kc5 Rf1 a4 Rxf6 Rc3+ Kb1 a3 Rf5+ Kd4 Rf4+ Ke3 Rh4 Rb3+ Ka2 Rb2+ Ka1 Bc3 Rh3+ Kd4 Rxc3 Kxc3 c5 Kb4 Ba2 Rxa2+ Kxa2 Kxc5 Kb1 Kd4 Ka2 c5 Kxa3 c4 Kb2 Kd3 Kc1 Kc3,134,"[48003, 48003, 47867, 47539, 47587, 47539, 47363, 47539, 47163, 46123, 46907, 41635, 41571, 41523, 40739, 40731, 40227, 40147, 31875, 39099, 31219, 35907, 30083, 33475, 29675, 31283, 25091, 30363, 23067, 29787, 21723, 29675, 21371, 29499, 21243, 29467, 20235, 27739, 17403, 25619, 16275, 25499, 15587, 25195, 15507, 23675, 14603, 23315, 14259, 23187, 13283, 18371, 12915, 18315, 12427, 17227, 10803, 17115, 10467, 15419, 9603, 15355, 9299, 15355, 7763, 14891, 6907, 14659, 6243, 14331, 5051, 14331, 4979, 14267, 4611, 14123, 3875, 13923, 3315, 13587, 3267, 13107, 3059, 12811, 2323, 12715, 1899, 12355, 1427, 12243, 1091, 12075, 1043, 12011, 953, 11699, 742, 11555, 714, 10723, 631, 10219, 502, 10115, 453, 9995, 379, 9931, 285, 9819, 129, 9755, 95, 9595, 77, 9539, 26, 9435, 26, 9211, 26, 9027, 26, 8963, 20, 8891, 20, 8827, 20, 8763, 20, 8707, 20, 8661, 0]"
Pap-G,bLp7jgwj,True,rapid,480,0,Pap-G,MoreChaoticSensei,2937,2531,white,resign,Horwitz Defense,A40,2.0,d4 e6 Bf4 Nf6 e3 b6 h3 Bb7 Nf3 c5 Bd3 Nc6 c3 d5 Nbd2 Bd6 Ne5 Qc7 Ndf3 Nd7 Qa4 a6 Nxd7 Qxd7 dxc5 bxc5 Bxd6 Qxd6 O-O O-O Rad1 Ne5 Be2 Nxf3+ Bxf3 Qb6 Rd2 Bc6 Qf4 Rfd8 Rfd1 h6 h4 Rd7 c4 Rad8 cxd5 exd5 b3 a5 h5 Qb7 Rc1 Qb6 Rdc2 c4 bxc4 dxc4 Rxc4 Bxf3 Qxf3 Qb2 R4c2 Qe5 g3 Rd5 Rc7 Qxh5 Qxh5 Rxh5 R1c2 Rb5 Ra7 Rf8 a4 Rd5 Kg2 g6 Rc6 h5 Rca6 Kg7 Rxa5 Rxa5 Rxa5 Rc8 Ra7 Rc1 a5 Ra1 a6 Kg8 f4 Kg7 e4 Kf6 Kh3 Rh1+ Kg2 Ra1 Kh2 Ra2+ Kh3 Ra1 Ra8 Rh1+ Kg2 Ra1 Kh2 Ra3 Kh3 Ra1 e5+ Ke6 a7 Ra2 Re8+ Kd7 a8=Q,119,"[48003, 48003, 47307, 47219, 47003, 46811, 45683, 46643, 45619, 45811, 44563, 44923, 44123, 44635, 42203, 44195, 36571, 41139, 36155, 38683, 27995, 33043, 26803, 31627, 25747, 28339, 22691, 28339, 22619, 28027, 17915, 24803, 16235, 21739, 16235, 21579, 15259, 21339, 13963, 19259, 13579, 18219, 13347, 17635, 12683, 17395, 12363, 8243, 12259, 6587, 11859, 5227, 11275, 4827, 10747, 4635, 10659, 4571, 10043, 4395, 10043, 4235, 9571, 4043, 9083, 3811, 8931, 3707, 8491, 3707, 8459, 3595, 8187, 2675, 7923, 2283, 7675, 2203, 7171, 2147, 6795, 2091, 6723, 2091, 6619, 2051, 6211, 2051, 6115, 2019, 6067, 1955, 5739, 1899, 5683, 1811, 5307, 1659, 5219, 1659, 5171, 1523, 5075, 1523, 4923, 1371, 4875, 1371, 4875, 1251, 4827, 1155, 4515, 892, 4091, 824, 3867, 731, 3864, 634]"
Pap-G,UV4CxoBV,True,rapid,480,0,Pap-G,Valerie2015,2934,2556,white,mate,Queen's Pawn Game: London System,D02,5.0,d4 d5 Nf3 Nf6 Bf4 c5 e3 Nc6 Nbd2 Qb6 dxc5 Qxc5 a3 Bf5 c4 dxc4 Bxc4 e6 O-O Be7 b4 Qb6 Rc1 O-O Be2 Rac8 Nc4 Qd8 Qb3 Nd5 Bg3 b5 Nce5 Nxe5 Nxe5 Rxc1 Rxc1 Qa8 Bxb5 a5 Bc6 Rc8 b5 a4 Qb2 Qa5 h3 Bf6 Bxd5 exd5 Rxc8+ Bxc8 Qc2 Bb7 Nd7 Qxb5 Nxf6+ gxf6 Qc3 d4 Qxd4 Qb1+ Kh2 Qf1 f3 Qa6 Bh4 Kg7 Qg4+ Kh8 Qf4 Kg7 Be1 Qc6 Bb4 Qd5 Bc3 Qc6 Bd4 h5 Qg5+ Kf8 Bxf6 Qd6+ Be5 Qxa3 Qd8#,87,"[48003, 48003, 47659, 47451, 47571, 47227, 47451, 47091, 47395, 46315, 47227, 45923, 46355, 43387, 45891, 41667, 44899, 40299, 43267, 39683, 39003, 39179, 33835, 37779, 33779, 37227, 32955, 36971, 31403, 28363, 31251, 22915, 30459, 22707, 30371, 17867, 30187, 17315, 29227, 17155, 27307, 16779, 22419, 16635, 22355, 16395, 20051, 13267, 17739, 11883, 16595, 11883, 14539, 9755, 13267, 7395, 13059, 7395, 11139, 6899, 10643, 5843, 10451, 5651, 8059, 5531, 7323, 5403, 7115, 5275, 6555, 5187, 6499, 4987, 5955, 4691, 5467, 4571, 5395, 4387, 5283, 4219, 5083, 4051, 4923, 3955, 4750]"
Pap-G,kXkmpn19,True,rapid,480,0,DefensiveTiger,Pap-G,2593,2930,black,resign,Zukertort Opening: Sicilian Invitation,A04,2.0,Nf3 c5 g3 Nc6 Bg2 g6 O-O Bg7 c4 d6 Nc3 Bf5 d3 Qd7 e3 Nf6 d4 Ne4 Nh4 Nxc3 bxc3 Bg4 Nf3 O-O Qd3 Rfc8 a4 Na5 Nd2 Bh3 Bxh3 Qxh3 e4 cxd4 cxd4 Qe6 Rb1 Nxc4 Rxb7 d5 e5 Qc6 Rb4 e6 Nxc4 dxc4 Qc3 Bf8 Rb5 a6 Ra5 Rab8 Be3 Bb4,54,"[48003, 48003, 47875, 47707, 47723, 47587, 47627, 47419, 47563, 47259, 47243, 47083, 45611, 42659, 44715, 40827, 43547, 40235, 39995, 39475, 39651, 38499, 38035, 37699, 34491, 35867, 32571, 35035, 32315, 34315, 30419, 34075, 29635, 31339, 29379, 31259, 19643, 31115, 19171, 27099, 17515, 26163, 16787, 24499, 15267, 24499, 15067, 23787, 14539, 23683, 14235, 23427, 13259, 23200, 12392]"
Pap-G,9jtCHp8W,True,rapid,480,0,Pap-G,DefensiveTiger,2926,2595,white,resign,Queen's Pawn Game: London System,D02,5.0,d4 d5 Nf3 Nf6 Bf4 c5 e3 Nc6 Nbd2 Qb6 dxc5 Qxb2 Rb1 Qa3 Bb5 Bd7 O-O e6 c4 Qxc5 Nb3 Qa3 Nbd4 Bd6 Bxc6 bxc6 Ne5 Bxe5 Bxe5 Ne4 Qg4 f6 Rb7 fxe5 Qxg7 O-O-O Rxd7 Rxd7 Qxh8+ Rd8 Qxe5 Qd6 Qxe6+ Qxe6 Nxe6 Re8 cxd5 cxd5 Rc1+ Kb8 Nd4 Kb7 Rc6 Re7 h4 Rf7 f3 Ng3 Rh6 a6 a4 Ka7 a5 Rb7 Rd6 Rb1+ Kf2 Nh1+ Ke2 Rb2+ Ke1 Rxg2 Rxd5 Ng3 Rg5 h6 Rg7+ Kb8 Kd1 Rg1+ Kc2 Ne2 Rxg1 Nxg1 Kd3,85,"[48003, 48003, 47291, 47739, 46915, 46971, 46787, 46755, 46651, 46339, 45643, 43339, 45531, 42403, 45331, 41107, 44299, 40427, 42715, 36435, 39139, 33203, 37555, 28715, 31555, 28099, 31451, 24243, 31451, 21555, 29371, 21203, 24259, 17139, 24019, 16707, 23915, 16595, 23787, 15243, 23603, 15083, 23091, 14971, 23091, 14875, 22899, 14707, 22067, 14435, 21499, 13779, 20499, 13411, 20163, 13083, 20011, 12899, 19059, 11539, 18683, 11347, 18347, 10491, 17491, 9723, 17387, 9595, 17347, 9195, 16291, 8683, 15323, 7931, 14315, 7115, 14219, 6931, 13475, 6579, 13371, 5867, 13011, 5779, 12870, 5719]"
Pap-G,j5ILldzD,True,rapid,480,0,TrixandTactix,Pap-G,2654,2920,black,resign,Four Knights Game: Spanish Variation,C48,7.0,e4 e5 Nf3 Nc6 Nc3 Nf6 Bb5 Bd6 O-O O-O d3 h6 Bxc6 dxc6 Nd2 Be6 Ne2 Nd7 f4 exf4 Nxf4 Bxf4 Rxf4 Ne5 Nf1 c5 Be3 b6 Ng3 f6 Qe2 Qe8 Raf1 a5 a3 Rd8 Nf5 Bxf5 Rxf5 Kh7 h3 a4 Bf4 Nc6 Bxc7 Nd4 Qf2 Rc8 Bxb6 Nxf5 Qxf5+ g6 Qf2 Qb5 Ba7 Qa5 e5 fxe5 Qxf8 Rxf8 Rxf8 Qxa7 Re8 Qb7 Rxe5 Qxb2 Re4 Qxa3 Kh2 h5 Rc4 Qb4,72,"[48003, 48003, 47795, 47891, 47699, 47531, 47651, 47035, 47411, 46779, 47339, 46691, 46403, 46115, 46315, 41995, 45923, 40179, 45707, 39267, 45707, 38659, 45707, 38419, 42203, 37803, 41683, 34315, 41155, 33475, 38635, 32795, 38011, 31867, 37235, 31571, 36235, 31195, 36235, 29907, 35867, 29259, 35291, 23259, 32059, 23091, 32003, 21891, 30987, 19707, 30227, 19595, 27259, 18587, 24499, 17691, 20139, 17355, 19947, 17211, 19947, 17075, 17995, 16211, 16411, 15971, 14979, 15699, 14691, 15483, 14475, 14879, 13987]"
Pap-G,Bx7psnMr,True,rapid,480,0,emandr,Pap-G,2604,2915,black,resign,"Italian Game: Two Knights Defense, Modern Bishop's Opening",C55,7.0,e4 e5 Nf3 Nc6 Bc4 Nf6 d3 d5 exd5 Nxd5 Nbd2 Nb6 Bb3 Bg4 O-O Qe7 Re1 O-O-O h3 Bh5 Nf1 f6 Ng3 Bf7 Be3 Kb8 Ne4 h6 Bxf7 Qxf7 a4 f5 Nc3 e4 Nd2 exd3 cxd3 Nd5 Nf3 Bb4 Qb3 Qd7 Red1 Rhe8 Nxd5 Qxd5 Qc2 g5 Rac1 f4 Bc5 Bxc5 Qxc5 Qxc5 Rxc5 Re2 b3 Rb2 Rc3 a5 d4 Rd5 Kf1 h5 Rcd3 Nb4 Rc3 Nc6 Rcd3 g4 hxg4 hxg4 Ne1 Ka7 Kg1 Kb6 Kf1 Nb4 Rc3 c6 Kg1 Rd8 Kf1 Nd5 Rcd3 Re8 R3d2 Rxb3 Nd3 Ka7 Nc5 Rb4 Rc2 g3 Rdc1 Re7 Ra1 Rxd4 Rb1 Rb4 Rcb2 b6 Nd3 Rxa4 fxg3 fxg3 Rc1 Rd4 Ne1 c5 Nf3 Rd3 Rcb1 a4 Ra1 a3 Rba2 Ree3 Ne1 Rc3 Nc2 Nb4 Nxe3 Nxa2 Nd1 Rc2 Ne3 Rc1+ Rxc1 Nxc1 Nc2 a2 Ke1 Nb3,134,"[48003, 48003, 47899, 47907, 47803, 47731, 47715, 47459, 47715, 47419, 47635, 45675, 47139, 44963, 46595, 44467, 46203, 44155, 41787, 43963, 41683, 41043, 41379, 40459, 39451, 39203, 36923, 37859, 34131, 37563, 34131, 36323, 33731, 35691, 32267, 35507, 31715, 34411, 24403, 32763, 21531, 32419, 21003, 30083, 17987, 30083, 17883, 28659, 17027, 26651, 16403, 26539, 16403, 26475, 16395, 26371, 15355, 25811, 14011, 22955, 12675, 22899, 11755, 21243, 9899, 20347, 9691, 19867, 9403, 19723, 9347, 19723, 9051, 18019, 6259, 16811, 6171, 14379, 6067, 14139, 5163, 13379, 5043, 13011, 4771, 12859, 4659, 12555, 4555, 11931, 4043, 11883, 3755, 11643, 3627, 11195, 3427, 11075, 3275, 10939, 3275, 10155, 3163, 10067, 2995, 10019, 2771, 9867, 2539, 9619, 2459, 9475, 2227, 9267, 2099, 9059, 2011, 8987, 1843, 8651, 1459, 8563, 881, 8443, 774, 8355, 665, 8051, 617, 8027, 572, 7971, 532, 7773, 485]"
