PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,ThemeList
19HnX,3q1r2/7k/4R1p1/2p2P2/1pBp3b/8/PP5Q/1K6 b - - 0 37,f8f5 c4d3 c5c4 d3f5,2031,77,92,2956,crushing endgame master short,https://lichess.org/LCKj5sdK/black#74,,"['crushing', 'endgame', 'master', 'short']"
363TX,8/K3kp2/8/1pp4N/4PP2/P1n5/7P/8 w - - 0 43,a7b6 b5b4 a3b4 c5b4 b6c5 b4b3,1550,77,90,568,crushing endgame knightEndgame long,https://lichess.org/BcuSsd3f#85,,"['crushing', 'endgame', 'knightEndgame', 'long']"
1075V,8/6k1/4ppp1/2p3P1/5P2/3KP3/8/8 b - - 1 49,f6g5 f4g5 g7f8 d3c4 f8e8 c4c5 e8e7 c5c6,1466,160,76,20,crushing defensiveMove endgame pawnEndgame veryLong,https://lichess.org/zgJmLwvl/black#98,,"['crushing', 'defensiveMove', 'endgame', 'pawnEndgame', 'veryLong']"
4oetp,r7/2k2p1p/p2q1p2/N2b4/3Q4/6r1/PPP4P/3RR1K1 w - - 0 25,h2g3 d6g3 g1f1 g3g2,1028,93,93,1007,mate mateIn2 middlegame short,https://lichess.org/CzINLrXI#49,,"['mate', 'mateIn2', 'middlegame', 'short']"
5I1ti,r2qkb1r/pppnpppp/5n2/1N1p4/3P1Bb1/5N2/PPP1PPPP/R2QKB1R b KQkq - 7 5,g4f3 b5c7 d8c7 f4c7,1453,76,82,294,advantage fork opening short,https://lichess.org/fck0nrYg/black#10,Queens_Pawn_Game Queens_Pawn_Game_Anti-Torre,"['advantage', 'fork', 'opening', 'short']"
0tFmZ,6k1/5ppp/b3p3/p3P3/4rP2/4B1P1/1KP4P/7R w - - 0 28,e3b6 e4b4 b2a3 b4b6,1020,148,0,12,advantage endgame fork short,https://lichess.org/tlYI9gc6#55,,"['advantage', 'endgame', 'fork', 'short']"
49jeU,6k1/p2Q1p1p/1p3Kp1/7q/3P1P2/4P3/8/8 b - - 2 37,h5f5 d7f5 g6f5 f6e7 g8g7 d4d5,2011,78,92,1915,crushing defensiveMove endgame long queenEndgame,https://lichess.org/TwGqFNhE/black#74,,"['crushing', 'defensiveMove', 'endgame', 'long', 'queenEndgame']"
3kOx1,6k1/5pp1/3p3p/8/1q1PPn2/4NP2/2Q3PP/6K1 w - - 0 30,d4d5 b4e1 e3f1 f4e2 c2e2 e1e2,1037,88,92,537,crushing endgame fork long,https://lichess.org/RN7BrU8X#59,,"['crushing', 'endgame', 'fork', 'long']"
0xiBb,4r3/pp3pkp/1n4p1/8/3b1q2/1B4N1/PP2QP1P/4R1K1 w - - 7 25,e2e8 f4f2 g1h1 f2f3,1432,76,96,18980,mate mateIn2 middlegame short,https://lichess.org/qbWjoRYY#49,,"['mate', 'mateIn2', 'middlegame', 'short']"
2mnwU,r4rk1/5ppp/pq2p3/1b2P3/P2pN1Pb/1Q6/1P3P1P/1RB2RK1 b - - 0 21,b6b7 e4d6 b7d7 a4b5,1866,75,91,1981,crushing middlegame short,https://lichess.org/G9g8KGyI/black#42,,"['crushing', 'middlegame', 'short']"
4LHgv,8/5p1k/6pq/3p4/3P2P1/4PPQp/R4K1P/7r w - - 15 51,e3e4 h6c1 g3h3 h7g7,1690,75,86,64,crushing defensiveMove endgame quietMove short,https://lichess.org/4QPgIDMp#101,,"['crushing', 'defensiveMove', 'endgame', 'quietMove', 'short']"
53vUC,3q3r/p1r2pbk/1p3npp/2p5/2Np1Q2/5BP1/PPP1RP1P/4R1K1 b - - 6 20,f6d5 f3d5 d8d5 f4c7,1544,76,93,1150,advantage capturingDefender middlegame short,https://lichess.org/mvMopnBb/black#40,,"['advantage', 'capturingDefender', 'middlegame', 'short']"
1czKI,r1r3k1/4qppp/2R1p1b1/pN1p4/P2Q4/5P2/1P4PP/2R3K1 b - - 3 25,f7f6 c6c8 a8c8 c1c8,830,80,89,57,crushing middlegame short,https://lichess.org/1BYU2woV/black#50,,"['crushing', 'middlegame', 'short']"
4zaNl,r6r/1pR2ppp/3p1k2/3qp1b1/3B4/8/P1Q2PPP/1R4K1 b - - 1 26,a8a2 d4e5 d5e5 c2a2,1976,77,92,480,advantage deflection middlegame short,https://lichess.org/3x3ONn5h/black#52,,"['advantage', 'deflection', 'middlegame', 'short']"
1Eh7h,2r2k2/1b5p/1pqb2p1/2pR1p2/PpP5/4Q2P/2B3P1/4R2K b - - 1 33,c8e8 e3e8 c6e8 e1e8 f8e8 d5d6,2030,77,92,893,advantage exposedKing long middlegame,https://lichess.org/3G0FXJ5c/black#66,,"['advantage', 'exposedKing', 'long', 'middlegame']"
0s7ZG,6rk/4rp1p/1pN3pB/8/1p2nQ2/2n4P/P5PK/8 b - - 3 39,e7b7 f4e5 f7f6 e5e6,2286,103,62,24,advantage middlegame short,https://lichess.org/Dy37mag5/black#78,,"['advantage', 'middlegame', 'short']"
3xJNh,3b1rk1/p2R1pp1/4r2p/2p1Q3/4N3/1P6/P1q2PPP/3R2K1 w - - 1 29,e5c5 c2e4 c5f8 g8f8,1901,93,86,46,crushing hangingPiece middlegame short,https://lichess.org/HiNEPuYF#57,,"['crushing', 'hangingPiece', 'middlegame', 'short']"
2OPhP,r2k1b2/ppp3p1/3p4/3QPqp1/8/1BP4r/PP2b1PP/RNB3KR w - - 5 16,e5d6 f5f1,949,77,99,1887,mate mateIn1 middlegame oneMove,https://lichess.org/m23Fkdn4#31,Italian_Game Italian_Game_Other_variations,"['mate', 'mateIn1', 'middlegame', 'oneMove']"
2maqr,1k5q/1p4p1/pPp3p1/2Pp1p2/P4P2/2Q1PBP1/7r/4K3 b - - 6 41,h8h3 c3e5 b8c8 e5e8,948,97,95,2536,endgame mate mateIn2 queensideAttack short,https://lichess.org/MvDPZP6B/black#82,,"['endgame', 'mate', 'mateIn2', 'queensideAttack', 'short']"
4HsXX,4r3/7p/R3b1p1/4B3/5Pk1/2P3np/1P5K/3B4 b - - 1 41,g4h4 e5f6 g6g5 f6g5,1116,87,100,50,endgame mate mateIn2 short,https://lichess.org/OqohYSox/black#82,,"['endgame', 'mate', 'mateIn2', 'short']"
0L1ky,r5k1/1b3ppp/p7/3p4/3QnB1q/1B6/PPP3PP/4R2K w - - 3 21,e1f1 e4g3 f4g3 h4d4,1237,79,91,655,crushing discoveredAttack middlegame pin short,https://lichess.org/Mr0XCr9b#41,,"['crushing', 'discoveredAttack', 'middlegame', 'pin', 'short']"
3DHab,2r2rk1/1bp2ppp/1p2p3/pP1q4/PnRP3n/4PN2/3NBPPP/1Q3RK1 b - - 10 19,h4f3 e2f3 d5c4 d2c4,1240,79,93,2603,crushing middlegame short,https://lichess.org/kkpi6YYA/black#38,Horwitz_Defense Horwitz_Defense_Other_variations,"['crushing', 'middlegame', 'short']"
3Rjvb,r4rk1/1p3ppp/1Bnp2q1/8/3PPnb1/2P2N2/PP4PP/R2QRBK1 w - - 9 19,e4e5 f4h3 g2h3 g4f3,1791,74,89,993,crushing deflection discoveredAttack discoveredCheck kingsideAttack middlegame short,https://lichess.org/kH93WU1P#37,Kings_Gambit_Accepted Kings_Gambit_Accepted_Bishops_Gambit,"['crushing', 'deflection', 'discoveredAttack', 'discoveredCheck', 'kingsideAttack', 'middlegame', 'short']"
2zg1A,1k1r3r/1pp2pp1/2qp4/8/R6p/4PN2/1P2Q3/3RK3 w - - 5 33,a4h4 h8h4 f3h4 c6h1 e2f1 h1h4,1190,77,72,87,advantage exposedKing fork long middlegame,https://lichess.org/ld2llzLa#65,,"['advantage', 'exposedKing', 'fork', 'long', 'middlegame']"
0knNn,r2qk2r/5ppp/p3p1P1/2bpN3/6P1/P1n2Q2/1PP2P2/R1B2RK1 b kq - 0 18,h7g6 f3f7,504,97,97,434,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/m7W9qhyU/black#36,Caro-Kann_Defense Caro-Kann_Defense_Exchange_Variation,"['attackingF2F7', 'mate', 'mateIn1', 'middlegame', 'oneMove']"
2qnKi,8/8/pkb5/2p1Np1p/1PP1pP1P/PK6/8/8 w - - 2 40,a3a4 c5b4 b3b4 a6a5,2199,79,91,202,attraction crushing endgame short,https://lichess.org/sc3Ejz0V#79,,"['attraction', 'crushing', 'endgame', 'short']"
1Eohj,k7/ppp5/8/2N3q1/3P4/8/P4R2/5K2 b - - 2 37,b7b6 f2f8 g5d8 f8d8,562,104,84,312,endgame mate mateIn2 short,https://lichess.org/MobkMrOu/black#74,,"['endgame', 'mate', 'mateIn2', 'short']"
4rf0L,r4rk1/ppp2ppp/8/3pb3/4b1Pq/2P1BB1P/PP3PK1/R2Q1R2 b - - 4 16,f7f5 f3e4 d5e4 d1d5 f8f7 d5e5,1298,78,93,1211,advantage fork long middlegame,https://lichess.org/LHpfVaXm/black#32,Scandinavian_Defense Scandinavian_Defense_Modern_Variation,"['advantage', 'fork', 'long', 'middlegame']"
2bkGn,2b2r2/Q1pn2bk/1p1p4/3PpP2/1PP2n2/2N1B3/3N1KqP/3B1R2 w - - 3 24,f2e1 f4d3,1072,80,93,801,cornerMate master mate mateIn1 middlegame oneMove,https://lichess.org/mufiUWGA#47,,"['cornerMate', 'master', 'mate', 'mateIn1', 'middlegame', 'oneMove']"
2P0P9,2b1k1n1/1p2pp2/n1p3pb/q6p/4P3/1PpP1P2/1BKNQP1P/3R2R1 w - - 0 18,b2c3 a5a2 c3b2 a6b4 c2c3 h6g7,1537,76,87,815,advantage long middlegame,https://lichess.org/RZjAcgvp#35,Nimzo-Larsen_Attack Nimzo-Larsen_Attack_Other_variations,"['advantage', 'long', 'middlegame']"
